id,source,date,statement
1,PIB,2023-07-20,"No proposal under consideration to provide free electricity to all farmers nationwide."
2,PIB,2024-01-10,"Government announces increased subsidies on electricity for small and marginal farmers under existing schemes."
3,PIB,2024-02-05,"Government launches new initiative to support solar irrigation pumps for farmers."
4,PIB,2022-12-10,"Ministry of Power clarifies that electricity subsidies are implemented at the state level."
5,PIB,2023-03-15,"Central Government denies reports about nationwide free electricity for all households."
6,PIB,2022-08-01,"Government introduces scheme to provide financial assistance for installing solar panels on agricultural lands."
7,PIB,2024-04-01,"No nationwide scheme for completely free electricity to all categories of farmers has been notified."
8,PIB,2023-11-25,"Government announces interest subvention scheme for farmers availing crop loans."
9,PIB,2024-03-20,"Government states that decisions on free electricity to farmers are under the purview of state governments."
10,PIB,2023-09-05,"Clarification issued that news reports claiming universal free power supply are factually incorrect."
